duration,service,flag,wrong_fragment,hot,logged_in,count,serror_rate,srv_srror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,xAttack
0,auth,S0,0,0,0,276,1,1,0.03,0.06,0,255,9,0.04,0.06,0,1,1,0,2
0,auth,S0,0,0,0,238,1,1,0.03,0.07,0,255,7,0.03,0.07,0,1,1,0,2
0,auth,REJ,0,0,0,276,0,0,0.05,0.06,0,255,14,0.05,0.07,0,0,0,1,2
0,auth,S0,0,0,0,240,1,1,0.03,0.07,0,255,6,0.02,0.07,0,1,1,0,2
0,auth,SF,0,0,0,1,0,0,1,0,0,100,3,0.01,0.04,0.67,0,0,0,1
0,auth,S0,0,0,0,279,1,1,0.04,0.06,0,255,11,0.04,0.07,0,1,1,0,2
0,auth,S0,0,0,0,102,1,1,0.02,0.05,0,255,2,0.01,0.05,0,1,1,0,2
0,auth,S0,0,0,0,206,1,1,0.02,0.07,0,255,4,0.02,0.07,0,1,1,0,2
0,auth,SF,0,0,0,2,0,0,1,0,0,55,9,0.09,0.09,0.22,0,0,0,1
0,auth,SF,0,0,1,1,0,0,1,0,0,1,12,1,0,0.25,0,0,0,1
0,auth,SF,0,0,0,1,0,0,1,0,0,230,12,0.05,0.03,0,0,0,0,1
0,auth,REJ,0,0,0,235,0,0,0.08,0.06,0,255,18,0.07,0.07,0,0,0,1,2
0,auth,S0,0,0,0,103,1,1,0.03,0.07,0,255,3,0.01,0.07,0,1,1,0,2
0,auth,REJ,0,0,0,225,0,0,0,0.07,0,255,1,0,0.08,0,0,0,1,2
0,auth,SF,0,0,0,1,0,0,1,0,0,194,8,0.03,0.02,0.25,0,0,0,1
0,auth,S0,0,0,0,228,1,1,0.08,0.05,0,255,18,0.07,0.05,0,1,1,0,2
0,auth,SF,0,0,0,1,0,0,1,0,0,69,3,0.01,0.06,0.67,0,0,0,1
0,auth,REJ,0,0,0,231,0,0,0.03,0.06,0,255,7,0.03,0.07,0,0,0,1,2
0,auth,REJ,0,0,0,216,0,0,0.04,0.06,0,255,8,0.03,0.08,0,0,0,1,2
0,auth,S0,0,0,0,206,1,1,0.04,0.06,0,255,9,0.04,0.07,0,1,1,0,2
0,auth,S0,0,0,0,259,1,1,0.05,0.06,0,255,12,0.05,0.07,0,1,1,0,2
42,auth,RSTO,0,0,0,1,0,0,1,0,0,255,3,0.01,0.02,0,0,0,0.33,1
0,auth,REJ,0,0,0,140,0,0,0.14,0.06,0,255,20,0.08,0.07,0,0,0,1,2
0,auth,SF,0,0,1,1,0,0,1,0,0,148,7,0.05,0.03,0,0,0,0,1
0,auth,SF,0,0,1,1,0,0,1,0,0,207,11,0.05,0.03,0.18,0,0,0,1
0,auth,S0,0,0,0,273,1,1,0.07,0.04,0,255,18,0.07,0.05,0,1,1,0,2
0,auth,S0,0,0,0,290,1,1,0.01,0.06,0,255,8,0.03,0.07,0,1,1,0,2
0,auth,REJ,0,0,0,211,0,0,0.09,0.07,0,255,18,0.07,0.08,0,0,0,1,2
0,auth,SF,0,0,1,2,0,0,0.5,1,0,1,12,1,0,0.17,0,0,0,1
0,auth,S0,0,0,0,236,1,1,0.03,0.07,0,255,6,0.02,0.07,0,1,1,0,2
0,auth,S0,0,0,0,230,1,1,0,0.07,0,255,1,0,0.08,0,1,1,0,2
0,auth,REJ,0,0,0,201,0,0,0,0.06,0,255,1,0,0.07,0,0,0,1,2
1,auth,SF,0,0,1,2,0,0,0.5,1,0,255,13,0.05,0.02,0,0,0,0,1
0,auth,SF,0,0,1,1,0,0,1,0,1,242,5,0.02,0.05,0,0.01,0,0.2,1
0,auth,S0,0,0,0,293,1,1,0.02,0.05,0,255,12,0.05,0.07,0,1,1,0,2
0,auth,S0,0,0,0,257,1,1,0.01,0.07,0,255,3,0.01,0.08,0,1,1,0,2
0,auth,REJ,0,0,0,259,0,0,0.06,0.07,0,255,15,0.06,0.07,0,0,0,1,2
0,auth,S0,0,0,0,269,1,1,0.06,0.06,0,255,15,0.06,0.06,0,1,1,0,2
0,auth,S0,0,0,0,141,1,1,0.08,0.06,0,255,14,0.05,0.07,0,1,1,0,2
0,auth,S0,0,0,0,268,1,1,0.02,0.06,0,255,6,0.02,0.08,0,1,1,0,2
0,auth,S0,0,0,0,230,1,1,0.03,0.06,0,255,7,0.03,0.07,0,1,1,0,2
0,auth,S0,0,0,0,278,1,1,0.02,0.06,0,255,5,0.02,0.07,0,1,1,0,2
